step,actor/distillation/loss,actor/distillation/abs_loss,actor/grad_norm,actor/lr,perf/mfu/actor,timing_s/gen,timing_s/update_actor,timing_s/update_weights,timing_s/step,perf/total_num_tokens,perf/throughput,response_length/mean,response_length/max,response_length/clip_ratio,training/num_turns/mean,training/off_policy/trajectory_staleness/mean,training/off_policy/trajectory_staleness/max
80,0.03505099978065118,0.04405626090010628,0.20457515120506287,1e-06,0.15132280317172356,128.41706833988428,85.48797994479537,5.428489804267883,219.46552960202098,968711,551.7443911104523,28012.59375,30615,0.03125,36.03125,0.09375,1
81,0.037138618528842926,0.04462752424296923,0.2418796569108963,1e-06,0.150692931187438,132.20769124198705,83.01092952489853,5.353223453275859,220.655386258848,938305,531.5443551530204,27006.75,30584,0.03125,36.21875,0.09375,1
82,0.038702435325831175,0.04708605041378178,0.2285526692867279,1e-06,0.1519944587146215,362.63840783480555,81.80391570087522,5.58180829230696,450.10565873328596,932981,259.1005528084368,26866.8125,30608,0.03125,37.71875,0.15625,1
83,0.04237419637502171,0.04784184315552314,0.3142760097980499,1e-06,0.1529819434723453,124.21138194482774,84.69600028544664,6.491952180862427,215.48764038737863,968547,561.8344271734442,27979.03125,30609,0.03125,32.75,0.15625,1
84,0.03814901609439403,0.04172278977930546,0.20623324811458588,1e-06,0.15176364419854893,162.26137073058635,84.1708847368136,7.167186144739389,253.68689947016537,956577,471.3374054778977,27613.3125,30581,0.0625,35.0625,0.0625,1
85,0.03894542466150597,0.04534238868703445,0.21364085376262665,1e-06,0.15203512189929233,136.22614999581128,81.54787117894739,5.654280884191394,223.51202415023,929428,519.786353515874,26760.875,30572,0.03125,33.875,0.15625,1
86,0.03689953504363075,0.04253632220206782,0.2284395694732666,1e-06,0.15068316597680337,142.26968109607697,90.91280979290605,6.0793584659695625,239.36179395020008,1021488,533.4435286968372,29641.375,30572,0.0625,34.96875,0.03125,1
87,0.044818398338975385,0.05708452071994543,0.2667073607444763,1e-06,0.14968189512333155,172.26934254635125,76.95766712538898,4.530825398862362,253.83934990502894,867676,427.27614942513395,24826.78125,30575,0.03125,32.78125,0.375,1
88,0.04610518796835095,0.05349426175234839,0.2778726816177368,1e-06,0.15160148182442704,142.22805903013796,82.22127223666757,8.514302019029856,233.04733351711184,935383,501.71299210087193,26970.875,30600,0.03125,45.4375,0.125,1
89,0.043161095411051065,0.051454158251484236,0.2656548321247101,1e-06,0.15053120381985224,134.2503348365426,80.82848209515214,7.696918528527021,222.88427127432078,912758,511.90130800919025,26254.78125,30570,0.03125,37.96875,0.21875,1
90,0.04258961958112195,0.05181913642445579,0.39738181233406067,1e-06,0.1505237661217753,144.24366815853864,82.80326359067112,4.798345358110964,231.94635717663914,935022,503.8999164405568,26947.375,30581,0.03125,37.375,0.09375,1
91,0.04264069441705942,0.049637861317023635,0.2494259774684906,1e-06,0.15320132988023666,180.279885686934,86.27541335299611,5.253762032836676,271.89235673379153,988328,454.3746704912282,28597.96875,30582,0.03125,39.03125,0.09375,1
92,0.04378257572534494,0.05610209653968923,0.2468419075012207,1e-06,0.150126157381221,134.34845877811313,85.40952877048403,6.86325737927109,226.70253492239863,960076,529.3699077563462,27703.5,30623,0.03125,34.71875,0.21875,1
